id,title,brand,season,gender,color,category,detail,hashtag,image,url,temperature,style
70,WTRD4101  BANE Flip-Flop Matte black [230~290MM],위더로드,2020  S/S,['남'],검정색,신발,슬리퍼,"['#가죽샌들', '#남자슬리퍼', '#래더샌들', '#레더샌들', '#WTRD']",https://image.msscdn.net/images/goods_img/20190502/1032680/1032680_8_500.jpg,https://store.musinsa.com/app/product/detail/1032680/0,23,포멀
71,REAL LEATHER DOUBLE STRAP SANDALS [BLACK],무신사 스탠다드,2020  ALL,"['남,여']",검정색,신발,샌들,"['#가죽샌들', '#가죽슬리퍼', '#가죽신발', '#샌들', '#여름신발', '#천연가죽', '#커플샌들']",https://image.msscdn.net/images/goods_img/20200611/1482171/1482171_4_500.jpg,https://store.musinsa.com/app/product/detail/1482171/0,23,ALL
72,Hurricane XLT2 / 1019235-BLK,테바,ALL,['여'],검정색,신발,샌들,"['#밸크로', '#밸크로샌들', '#벨크로', '#샌들', '#슬리퍼', '#허리케인', '#허리케인XLT2']",https://image.msscdn.net/images/goods_img/20180531/791569/791569_2_500.jpg,https://store.musinsa.com/app/product/detail/791569/0,23,캐주얼
73,CASH FLIP BLACK/BLACK/BLACK,리복,2020  S/S,"['남,여']",검정색,신발,슬리퍼,"['#블랙', '#슬라이드', '#여름슬리퍼', '#쪼리', '#플랍', '#플립', '#플립플랍']",https://image.msscdn.net/images/goods_img/20200421/1413636/1413636_1_500.jpg,https://store.musinsa.com/app/product/detail/1413636/0,23,캐주얼
74,Myles Black Brando,닥터마틴,2020  S/S,"['남,여']",검정색,신발,슬리퍼,"['#가죽슬리퍼', '#닥마마일즈', '#닥마샌들', '#래더', '#래더슬리퍼', '#레더', '#레더슬리퍼']",https://image.msscdn.net/images/goods_img/20200304/1334438/1334438_1_500.jpg,https://store.musinsa.com/app/product/detail/1334438/0,23,ALL
75,CASH FLIP BLACK/WHITE/BLACK,리복,2020  S/S,"['남,여']",검정색,신발,슬리퍼,"['#블랙', '#슬라이드', '#여름슬리퍼', '#쪼리', '#플립플랍', '#플립플롭']",https://image.msscdn.net/images/goods_img/20200414/1404771/1404771_1_500.jpg,https://store.musinsa.com/app/product/detail/1404771/0,23,캐주얼
76,1461 모노 블랙 14345001,닥터마틴,,"['남,여']",검정색,신발,구두,"['#구두', '#닥마', '#더비', '#더비슈즈', '#모노1461', '#블랙', '#1461']",https://image.msscdn.net/images/goods_img/20161216/464267/464267_1_500.jpg,https://store.musinsa.com/app/product/detail/464267/0,20,ALL
77,NASTYKICK COLLABO SLIPPER,슈펜,2020  ALL,"['남,여']",흰색,신발,슬리퍼,"['#네스티킥슬리퍼', '#슈펜X네스티킥', '#슈펜네스티킥', '#슬리퍼']",https://image.msscdn.net/images/goods_img/20200113/1269023/1269023_2_500.jpg,https://store.musinsa.com/app/product/detail/1269023/0,23,ALL
78,MO Flipflop wht,모 스포츠,ALL,"['남,여']",흰색,신발,슬리퍼,[],https://image.msscdn.net/images/goods_img/20170623/581855/581855_1_500.jpg,https://store.musinsa.com/app/product/detail/581855/0,23,캐주얼
79,공용 CROCBAND BLK (20SUCL11016),크록스,2020  ALL,"['남,여']",검정색,신발,샌들,"['#성인신발', '#크록스성인', '#크록스클로그', '#클로그']",https://image.msscdn.net/images/goods_img/20200204/1289037/1289037_1_500.jpg,https://store.musinsa.com/app/product/detail/1289037/0,23,캐주얼
80,WTRD4109  Aiden Cross Sandal Matte black [250~290MM],위더로드,2020  S/S,['남'],검정색,신발,샌들,"['#가죽', '#가죽샌들', '#가죽스트랩', '#남자샌들', '#래더', '#래더샌들', '#래더스트랩']",https://image.msscdn.net/images/goods_img/20190625/1082376/1082376_14_500.jpg,https://store.musinsa.com/app/product/detail/1082376/0,23,포멀
81,BSQTBYCLASSY 191 BASIC CHELSEA BOOTS LUCY BLACK,비에스큐티바이클래시,ALL,['남'],검정색,신발,부츠,"['#남자부츠', '#부츠워커', '#블랙', '#첼시부츠']",https://image.msscdn.net/images/goods_img/20171110/668697/668697_1_500.jpg,https://store.musinsa.com/app/product/detail/668697/0,17,ALL
