id,title,brand,season,gender,color,category,detail,hashtag,image,url,temperature,style
808,블랙 페이크 레더 백 슬릿 미디 스커트 (160227HY25),에잇세컨즈,2020  S/S,['여'],검정색,스커트,롱스커트,"['#스커트SHORT', '#160227HY25']",https://image.msscdn.net/images/goods_img/20200213/1304016/1304016_2_500.jpg,https://store.musinsa.com/app/product/detail/1304016/0,20.0,ALL
809,TO2-LINEN MIDI SKIRT GREEN,바이바이섭,2020  S/S,['여'],녹색,스커트,롱스커트,[],https://image.msscdn.net/images/goods_img/20200527/1464865/1464865_2_500.jpg,https://store.musinsa.com/app/product/detail/1464865/0,20.0,ALL
810,[DANA 8117]커버밴드 베이직 A라인핏 스커트 데님(진청),밀리언코르,2020  S/S,['여'],진청,스커트,미니스커트,"['#데님', '#A라인']",https://image.msscdn.net/images/goods_img/20200508/1437783/1437783_1_500.jpg,https://store.musinsa.com/app/product/detail/1437783/0,23.0,캐주얼
811,NY Track Skirt Purple,널디,2019  F/W,['여'],보라색,스커트,미니스커트,['#트레이닝세트'],https://image.msscdn.net/images/goods_img/20190909/1148583/1148583_1_500.jpg,https://store.musinsa.com/app/product/detail/1148583/0,23.0,캐주얼
812,여성 베이직 코튼 롱 스커트 [블랙] WHWHA2397F,후아유,2020  S/S,['여'],검정색,스커트,롱스커트,"['#긴치마', '#롱스커트', '#스커트', '#치마']",https://image.msscdn.net/images/goods_img/20200514/1445586/1445586_3_500.jpg,https://store.musinsa.com/app/product/detail/1445586/0,20.0,ALL
813,BACK SLIT DENIM PENCIL SKIRT MID BLUE UDSK0F201B2,던스트,,['여'],데님,스커트,롱스커트,"['#데님스커트', '#백슬릿스커트', '#스커트', '#청치마', '#치마']",https://image.msscdn.net/images/goods_img/20200203/1287839/1287839_2_500.jpg,https://store.musinsa.com/app/product/detail/1287839/0,20.0,ALL
814,[NF]FANCY PAISLEY BUTTERFLY LAB SKIRT (BLACK)(20SS-F710),네스티팬시클럽,2020  S/S,['여'],검정색,스커트,미니스커트,[],https://image.msscdn.net/images/goods_img/20200408/1391009/1391009_1_500.jpg,https://store.musinsa.com/app/product/detail/1391009/0,23.0,캐주얼
815,PIPING POINT TRACK SKIRT_black,5252 바이 오아이오아이,2020  S/S,['여'],검정색,스커트,미니스커트,['#트랙스커트'],https://image.msscdn.net/images/goods_img/20200310/1342322/1342322_1_500.jpg,https://store.musinsa.com/app/product/detail/1342322/0,23.0,캐주얼
816,체크 훌 스커트 (2colors) CVWHA3701M,클라비스,2020  S/S,['여'],체크,스커트,미디스커트,['#체크훌스커트'],https://image.msscdn.net/images/goods_img/20200723/1524898/1524898_1_500.jpg,https://store.musinsa.com/app/product/detail/1524898/0,20.0,ALL
817,[NF]FANCY PAISLEY BUTTERFLY LAB SKIRT (NAVY)(20SS-F710),네스티팬시클럽,2020  S/S,['여'],네이비,스커트,미니스커트,[],https://image.msscdn.net/images/goods_img/20200408/1391008/1391008_2_500.jpg,https://store.musinsa.com/app/product/detail/1391008/0,23.0,캐주얼
818,베이지 리브 셔링 니트 미디 스커트 (32015ULY7A),에잇세컨즈,2020  S/S,['여'],베이지색,스커트,미디스커트,"['#SWEATERETC', '#32015ULY7A']",https://image.msscdn.net/images/goods_img/20200130/1283858/1283858_3_500.jpg,https://store.musinsa.com/app/product/detail/1283858/0,20.0,ALL
819,(SK-20349) SET-UP CHECK SHIRRING SKIRT MUSTARD,로라로라,2020  S/S,['여'],머스타드,스커트,미니스커트,"['#랩스커트', '#셔링스커트', '#체크']",https://image.msscdn.net/images/goods_img/20200416/1406329/1406329_2_500.jpg,https://store.musinsa.com/app/product/detail/1406329/0,23.0,캐주얼
820,DRAWING SKIRT BLACK,바이바이섭,2019  S/S,['여'],검정색,스커트,미디스커트,[],https://image.msscdn.net/images/goods_img/20190530/1059653/1059653_2_500.jpg,https://store.musinsa.com/app/product/detail/1059653/0,20.0,ALL
821,(W) CRYSTAL A SKIRT - DENIM,아파트먼트,2019  F/W,['여'],데님,스커트,미니스커트,"['#스커트', '#아파트걸', '#치마']",https://image.msscdn.net/images/goods_img/20190826/1129541/1129541_2_500.jpg,https://store.musinsa.com/app/product/detail/1129541/0,23.0,캐주얼
822,SWEAT MINISKIRT [MEDIUM GREY],무신사 스탠다드,2020  ALL,['여'],회색,스커트,미니스커트,"['#무신사스탠다드우먼즈', '#스웨트치마', '#스웨트컬렉션', '#우먼즈스웨트컬렉션', '#치마']",https://image.msscdn.net/images/goods_img/20200226/1324273/1324273_1_500.jpg,https://store.musinsa.com/app/product/detail/1324273/0,23.0,ALL
823,버튼다운 스티치 스커트 (2colors) CVWHA3701Q,클라비스,2020  S/S,['여'],베이지색,스커트,미디스커트,['#버튼다운스티치스커트'],https://image.msscdn.net/images/goods_img/20200723/1524899/1524899_1_500.jpg,https://store.musinsa.com/app/product/detail/1524899/0,20.0,ALL
824,사이드 슬릿 밴딩 스커트,클라모드,2020  S/S,['여'],네이비,스커트,롱스커트,"['#고무줄치마', '#롱스커트', '#루즈핏오버핏', '#밴딩스커트', '#체형커버', '#편한스커트', '#66사이즈']",https://image.msscdn.net/images/goods_img/20200723/1524736/1524736_1_500.jpg,https://store.musinsa.com/app/product/detail/1524736/0,20.0,ALL
825,FLUID SK [TIE-DYE],아수라,2020  S/S,['여'],베이지색,스커트,롱스커트,"['#미디스커트', '#슬릿스커트', '#타이다이', '#타이다이스커트', '#트임스커트']",https://image.msscdn.net/images/goods_img/20200617/1487411/1487411_1_500.jpg,https://store.musinsa.com/app/product/detail/1487411/0,20.0,캐주얼
826,C SATIN MIDI SKIRT_SKY BLUE,큐리티,2020  S/S,['여'],스카이 블루,스커트,롱스커트,[],https://image.msscdn.net/images/goods_img/20200528/1466332/1466332_1_500.jpg,https://store.musinsa.com/app/product/detail/1466332/0,20.0,캐주얼
827,Heart Coloration Skirt_Black,하트클럽,2020  S/S,['여'],검정색,스커트,미니스커트,"['#배색스커트', '#스커트']",https://image.msscdn.net/images/goods_img/20200525/1460356/1460356_1_500.jpg,https://store.musinsa.com/app/product/detail/1460356/0,23.0,캐주얼
828,W MHS SKIRT LEGINK,아디다스,2020  S/S,['여'],네이비,스커트,롱스커트,"['#롱스커트', '#롱치마', '#맥시스커트', '#머스트해브', '#스커트', '#아디다스우먼', '#치마']",https://image.msscdn.net/images/goods_img/20200213/1303923/1303923_5_500.jpg,https://store.musinsa.com/app/product/detail/1303923/0,20.0,캐주얼
829,Root Edit Denim Long Skirt,루트에딧,2020  S/S,['여'],데님,스커트,롱스커트,"['#데님스커트', '#롱스커트', '#스커트', '#치마']",https://image.msscdn.net/images/goods_img/20200528/1467222/1467222_1_500.jpg,https://store.musinsa.com/app/product/detail/1467222/0,20.0,캐주얼
